p,rho,seed,protocol,unsafe_total,unsafe_allowed,safe_total,safe_blocked,containment_failure_rate,false_block_rate,benign_success_rate
0.01,0.5,23,single_source,27881,269,72119,558,0.009648147483949644,0.007737212107766331,0.9922627878922337
0.01,0.5,23,redundant_fail_closed,27881,137,72119,821,0.004913740540152792,0.011383962617340784,0.9886160373826592
0.01,0.5,23,correlation_aware,27881,4,72119,821,0.00014346687708475305,0.011383962617340784,0.9886160373826592
0.01,0.5,23,three_source_diverse,27881,140,72119,296,0.005021340697966357,0.004104327569711172,0.9958956724302889
0.01,0.5,24,single_source,28148,235,71852,506,0.008348728151200796,0.007042253521126761,0.9929577464788732
0.01,0.5,24,redundant_fail_closed,28148,112,71852,767,0.003978968310359528,0.010674720258308746,0.9893252797416913
0.01,0.5,24,correlation_aware,28148,7,71852,785,0.0002486855193974705,0.010925235205700606,0.9890747647942993
0.01,0.5,24,three_source_diverse,28148,117,71852,263,0.004156600824214865,0.0036603017313366366,0.9963396982686633
0.01,0.5,25,single_source,27894,217,72106,529,0.0077794507779450775,0.007336421379635537,0.9926635786203645
0.01,0.5,25,redundant_fail_closed,27894,104,72106,763,0.0037284003728400373,0.010581643691232353,0.9894183563087676
0.01,0.5,25,correlation_aware,27894,3,72106,823,0.00010755001075500108,0.011413751976257177,0.9885862480237428
0.01,0.5,25,three_source_diverse,27894,106,72106,292,0.003800100380010038,0.00404959365378748,0.9959504063462126
0.01,0.5,26,single_source,27928,263,72072,545,0.00941707247207104,0.007561882561882562,0.9924381174381174
0.01,0.5,26,redundant_fail_closed,27928,129,72072,798,0.004619020338012031,0.011072261072261072,0.9889277389277389
0.01,0.5,26,correlation_aware,27928,3,72072,807,0.00010741907762818677,0.011197136197136198,0.9888028638028638
0.01,0.5,26,three_source_diverse,27928,131,72072,269,0.004690633056430822,0.0037323787323787325,0.9962676212676213
0.01,0.5,27,single_source,27861,240,72139,543,0.008614191881124151,0.007527135114154618,0.9924728648858454
0.01,0.5,27,redundant_fail_closed,27861,124,72139,820,0.004450665805247478,0.011366944371283216,0.9886330556287168
0.01,0.5,27,correlation_aware,27861,4,72139,804,0.00014356986468540254,0.011145150334770374,0.9888548496652296
0.01,0.5,27,three_source_diverse,27861,127,72139,277,0.0045583432037615305,0.003839809257128599,0.9961601907428714
0.01,0.5,28,single_source,27972,229,72028,573,0.008186758186758188,0.007955239629033153,0.9920447603709669
0.01,0.5,28,redundant_fail_closed,27972,126,72028,854,0.0045045045045045045,0.011856500249902816,0.9881434997500972
0.01,0.5,28,correlation_aware,27972,6,72028,864,0.0002145002145002145,0.011995335147442662,0.9880046648525573
0.01,0.5,28,three_source_diverse,27972,131,72028,304,0.004683254683254683,0.004220580885211307,0.9957794191147887
0.01,0.5,29,single_source,28011,253,71989,533,0.009032165934811324,0.007403908930531053,0.992596091069469
0.01,0.5,29,redundant_fail_closed,28011,126,71989,781,0.004498232837099711,0.010848879689952632,0.9891511203100474
0.01,0.5,29,correlation_aware,28011,1,71989,843,3.570026061190247e-05,0.011710122379808027,0.9882898776201919
0.01,0.5,29,three_source_diverse,28011,127,71989,290,0.0045339330977116135,0.004028393226742975,0.995971606773257
0.01,0.75,0,single_source,28045,216,71955,527,0.007701907648422179,0.0073240219581683,0.9926759780418317
0.01,0.75,0,redundant_fail_closed,28045,150,71955,643,0.005348546978070958,0.008936140643457716,0.9910638593565423
0.01,0.75,0,correlation_aware,28045,2,71955,968,7.131395970761276e-05,0.01345285247724272,0.9865471475227573
0.01,0.75,0,three_source_diverse,28045,151,71955,404,0.0053842039579247635,0.0056146202487665905,0.9943853797512334
0.01,0.75,1,single_source,28192,218,71808,551,0.0077326901248581156,0.007673239750445633,0.9923267602495544
0.01,0.75,1,redundant_fail_closed,28192,168,71808,686,0.005959137343927355,0.00955325311942959,0.9904467468805704
0.01,0.75,1,correlation_aware,28192,2,71808,1001,7.094211123723042e-05,0.013939950980392158,0.9860600490196079
0.01,0.75,1,three_source_diverse,28192,169,71808,419,0.00599460839954597,0.005835004456327985,0.994164995543672
0.01,0.75,2,single_source,28230,236,71770,507,0.008359900814736096,0.00706423296642051,0.9929357670335794
0.01,0.75,2,redundant_fail_closed,28230,168,71770,641,0.005951115834218916,0.008931308346105615,0.9910686916538944
0.01,0.75,2,correlation_aware,28230,2,71770,858,7.084661707403471e-05,0.011954855789327017,0.988045144210673
0.01,0.75,2,three_source_diverse,28230,169,71770,381,0.005986539142755934,0.005308624773582277,0.9946913752264177
0.01,0.75,3,single_source,28063,198,71937,539,0.007055553575882835,0.007492667194906655,0.9925073328050933
0.01,0.75,3,redundant_fail_closed,28063,146,71937,662,0.005202579909489363,0.009202496628994816,0.9907975033710051
0.01,0.75,3,correlation_aware,28063,2,71937,923,7.126821793821046e-05,0.012830671281816034,0.987169328718184
0.01,0.75,3,three_source_diverse,28063,147,71937,408,0.005238214018458469,0.005671629342341215,0.9943283706576588
0.01,0.75,4,single_source,28119,212,71881,575,0.007539386180162879,0.00799933222965735,0.9920006677703427
0.01,0.75,4,redundant_fail_closed,28119,164,71881,713,0.005832355346918454,0.009919171964775115,0.9900808280352249
0.01,0.75,4,correlation_aware,28119,4,71881,950,0.00014225256943703547,0.013216288031607796,0.9867837119683922
0.01,0.75,4,three_source_diverse,28119,166,71881,426,0.005903481631636971,0.005926461791015706,0.9940735382089843
