p,rho,seed,empirical_error_correlation,source1_marginal_error,source2_marginal_error,source3_marginal_error
0.05,0.25,28,0.25575672846174197,0.05067,0.05067,0.04974
0.05,0.25,29,0.24324363962083984,0.04939,0.04958,0.04887
0.05,0.5,0,0.49867052527465683,0.05034,0.04971,0.05121
0.05,0.5,1,0.5018619038294756,0.0503,0.04996,0.05059
0.05,0.5,2,0.502847836104124,0.04996,0.04984,0.04943
0.05,0.5,3,0.48834226307166406,0.0484,0.04928,0.05062
0.05,0.5,4,0.5001970651514412,0.04955,0.04918,0.04844
0.05,0.5,5,0.4944199488720595,0.04937,0.04896,0.05084
0.05,0.5,6,0.4970872896463914,0.04876,0.04974,0.0504
0.05,0.5,7,0.5039232266044363,0.04896,0.0495,0.04914
0.05,0.5,8,0.48902333921082863,0.04999,0.04913,0.05047
0.05,0.5,9,0.4973739645620037,0.051,0.05117,0.04886
0.05,0.5,10,0.5038917173259583,0.05015,0.04933,0.0507
0.05,0.5,11,0.49865034213910014,0.04913,0.04972,0.05036
0.05,0.5,12,0.4948816519156642,0.04896,0.0483,0.04944
0.05,0.5,13,0.5019475876162409,0.05005,0.05034,0.04994
0.05,0.5,14,0.5026805971686253,0.04988,0.05013,0.05108
0.05,0.5,15,0.5011813416678245,0.05056,0.05,0.04966
0.05,0.5,16,0.5059950077890015,0.05033,0.04987,0.05081
0.05,0.5,17,0.5070797865927714,0.05021,0.04984,0.05083
0.05,0.5,18,0.4992726086177421,0.05036,0.04984,0.04955
0.05,0.5,19,0.4952862604338521,0.05069,0.05046,0.04929
0.05,0.5,20,0.49261187585860455,0.05008,0.04963,0.04982
0.05,0.5,21,0.5045571874179982,0.05093,0.05085,0.04986
0.05,0.5,22,0.49678293362875536,0.05026,0.04928,0.04952
0.05,0.5,23,0.4969888381026265,0.05068,0.0505,0.0497
0.05,0.5,24,0.5023052479892548,0.05028,0.05041,0.0494
0.05,0.5,25,0.49290654171646175,0.04919,0.0494,0.05006
0.05,0.5,26,0.5060957382566307,0.04983,0.0501,0.05069
0.05,0.5,27,0.4943181838579468,0.04992,0.05104,0.05132
0.05,0.5,28,0.5047986775108458,0.05089,0.05092,0.04974
0.05,0.5,29,0.49392730677248076,0.04976,0.04972,0.04887
