hidden_fraction,seed,protocol,threshold,fpr,tpr,known_tpr,hidden_tpr,known_attack_mean_pairwise_corr
0.0,26,adaptive_evidence,1.6999127407881718,0.1,0.9035,0.9035,nan,-0.23032692239199815
0.0,26,conservative_max,1.8778161349128215,0.1,0.9235,0.9235,nan,-0.23032692239199815
0.0,27,single_m1,1.3022153320223784,0.1,0.5928,0.5928,nan,-0.23015541200061373
0.0,27,algorithm_diverse,0.7863366668326928,0.1,0.9452666666666667,0.9452666666666667,nan,-0.23015541200061373
0.0,27,evidence_diverse,1.3722874642959848,0.1,0.7746,0.7746,nan,-0.23015541200061373
0.0,27,max_pool,1.9697766971169173,0.1,0.9246666666666666,0.9246666666666666,nan,-0.23015541200061373
0.0,27,weighted_max,1.6651312106358278,0.1,0.9227,0.9227,nan,-0.23015541200061373
0.0,27,hybrid_evidence,1.550647648203376,0.1,0.9535333333333333,0.9535333333333333,nan,-0.23015541200061373
0.0,27,adaptive_evidence,1.6968471433389825,0.1,0.9031333333333333,0.9031333333333333,nan,-0.23015541200061373
0.0,27,conservative_max,1.8712878622610714,0.1,0.9246666666666666,0.9246666666666666,nan,-0.23015541200061373
0.0,28,single_m1,1.2903418263987405,0.1,0.5924,0.5924,nan,-0.23074268223837577
0.0,28,algorithm_diverse,0.7721434528474738,0.1,0.9490666666666666,0.9490666666666666,nan,-0.23074268223837577
0.0,28,evidence_diverse,1.3651131537409043,0.1,0.7781333333333333,0.7781333333333333,nan,-0.23074268223837577
0.0,28,max_pool,1.9763509467560159,0.1,0.9231333333333334,0.9231333333333334,nan,-0.23074268223837577
0.0,28,weighted_max,1.6604105721535785,0.1,0.9230666666666667,0.9230666666666667,nan,-0.23074268223837577
0.0,28,hybrid_evidence,1.548726217988187,0.1,0.9518,0.9518,nan,-0.23074268223837577
0.0,28,adaptive_evidence,1.6902618398192872,0.1,0.9040333333333334,0.9040333333333334,nan,-0.23074268223837577
0.0,28,conservative_max,1.8775333994182148,0.1,0.9231333333333334,0.9231333333333334,nan,-0.23074268223837577
0.0,29,single_m1,1.3066016143633858,0.1,0.5908,0.5908,nan,-0.23010823396388883
0.0,29,algorithm_diverse,0.7942813704646924,0.1,0.9442666666666667,0.9442666666666667,nan,-0.23010823396388883
0.0,29,evidence_diverse,1.3741228301076152,0.1,0.7746,0.7746,nan,-0.23010823396388883
0.0,29,max_pool,1.9812735570372078,0.1,0.9243666666666667,0.9243666666666667,nan,-0.23010823396388883
0.0,29,weighted_max,1.6689233828019456,0.1,0.9225666666666666,0.9225666666666666,nan,-0.23010823396388883
0.0,29,hybrid_evidence,1.5620609166460002,0.1,0.9519666666666666,0.9519666666666666,nan,-0.23010823396388883
0.0,29,adaptive_evidence,1.7033247443806785,0.1,0.9034333333333333,0.9034333333333333,nan,-0.23010823396388883
0.0,29,conservative_max,1.8822098791853472,0.1,0.9243666666666667,0.9243666666666667,nan,-0.23010823396388883
0.1,0,single_m1,1.3021232040472863,0.1,0.5461666666666667,0.5952222222222222,0.10466666666666667,-0.22897481348223855
0.1,0,algorithm_diverse,0.7857499466979281,0.1,0.8618,0.9460740740740741,0.10333333333333333,-0.22897481348223855
0.1,0,evidence_diverse,1.3717411459038593,0.1,0.7965333333333333,0.776074074074074,0.9806666666666667,-0.22897481348223855
0.1,0,max_pool,1.979925055200246,0.1,0.9227,0.922074074074074,0.9283333333333333,-0.22897481348223855
0.1,0,weighted_max,1.6610079684770007,0.1,0.9286666666666666,0.9247407407407408,0.964,-0.22897481348223855
0.1,0,hybrid_evidence,1.5526724421721867,0.1,0.9449,0.9521851851851851,0.8793333333333333,-0.22897481348223855
0.1,0,adaptive_evidence,1.6987908999807149,0.1,0.9091,0.9036296296296297,0.9583333333333334,-0.22897481348223855
0.1,0,conservative_max,1.8809288024402337,0.1,0.9227,0.922074074074074,0.9283333333333333,-0.22897481348223855
0.1,1,single_m1,1.294221057398263,0.1,0.5459666666666667,0.5936666666666667,0.11666666666666667,-0.2320803835366275
0.1,1,algorithm_diverse,0.7741525069297664,0.1,0.8640666666666666,0.9481111111111111,0.10766666666666666,-0.2320803835366275
0.1,1,evidence_diverse,1.3845407055904815,0.1,0.7867666666666666,0.7654814814814814,0.9783333333333334,-0.2320803835366275
0.1,1,max_pool,1.9717841258125217,0.1,0.9264,0.9264074074074075,0.9263333333333333,-0.2320803835366275
0.1,1,weighted_max,1.6615547712634424,0.1,0.9294666666666667,0.926,0.9606666666666667,-0.2320803835366275
0.1,1,hybrid_evidence,1.5478841179256027,0.1,0.9458333333333333,0.9538888888888889,0.8733333333333333,-0.2320803835366275
